Date,Close,120MA,S/S_A,S_U,S_L,s,Leakage Ratio,% change,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
2010-08-03,69824.0,77046.71972672499,0.9062553246608932,125200.9195559281,28892.51989752187,0.8556560872168559,,,,,,,,,,,,,,,,,
2010-08-04,67788.796875,76790.50638036666,0.8827757501587702,124784.5728680958,28796.439892637496,0.9008589168750604,,,,,,,,,,,,,,,,,
2010-08-05,68044.796875,76543.25299494999,0.8889718454935449,124382.78611679375,28703.719873106245,0.8887303416457907,,,,,,,,,,,,,,,,,
2010-08-06,68352.0,76327.4663413,0.8955098770652556,124032.13280461248,28622.79987798749,0.8760899663113658,,,,,,,,,,,,,,,,,
2010-08-09,68710.398438,76126.71966161666,0.9025792618336608,123705.91945012707,28547.51987310625,0.8625997168336335,,,,,,,,,,,,,,,,,
2010-08-10,68505.601563,75942.82636734999,0.90206810623067,123407.09284694373,28478.559887756244,0.8635690562706685,,,,,,,,,,,,,,,,,
2010-08-11,74214.398438,75804.47968766665,0.9790239144676124,123182.27949245831,28426.679882875,0.7272850396559094,,,,,,,,,,,,,,,,,
2010-08-12,76057.601563,75676.79967464997,1.0050319502144274,122974.79947130619,28378.799877993737,0.6851282975706364,,,,,,,,,,,,,,,,,
2010-08-13,77785.601563,75532.9063803833,1.0298240236020066,122740.97286812284,28324.839892643737,0.6465322970148176,,,,,,,,,,,,,,,,,
2010-08-16,77324.796875,75409.91966163329,1.0253929088103901,122541.1194501541,28278.719873112484,0.6533221749352353,,,,,,,,,,,,,,,,,
2010-08-17,74214.398438,75266.34628924163,0.9860236625915242,122307.81272001765,28224.87985846561,0.7157631442289452,,,,,,,,,,,,,,,,,
2010-08-18,73344.0,75119.67962257496,0.9763619915380826,122069.47938668431,28169.87985846561,0.7317017617090531,,,,,,,,,,,,,,,,,
2010-08-19,76556.796875,75033.17291684164,1.020306004650063,121928.90598986765,28137.43984381561,0.6611742001908679,,,,,,,,,,,,,,,,,
2010-08-20,76633.601563,74952.85292986663,1.0224240781695937,121798.38601103325,28107.319848699986,0.6578972973895507,,,,,,,,,,,,,,,,,
2010-08-23,78771.203125,74890.34628924163,1.0518205219771548,121696.81272001765,28083.87985846561,0.6134927003937739,,,,,,,,,,,,,,,,,
2010-08-24,83148.796875,74873.27962257496,1.110526976968829,121669.07938668432,28077.47985846561,0.5303116125198377,,,,,,,,,,,,,,,,,
2010-08-25,80908.796875,74869.01295590829,1.0806713442669351,121662.14605335095,28075.87985846561,0.5717492192257666,,,,,,,,,,,,,,,,,
2010-08-26,83712.0,74893.65292986663,1.1177449186300372,121702.18601103328,28085.119848699986,0.5205461572694761,,,,,,,,,,,,,,,,,
2010-08-27,80294.398438,74901.43958351662,1.07200073702816,121714.83932321453,28088.03984381873,0.5841123621071714,,,,,,,,,,,,,,,,,
2010-08-30,82828.796875,74946.23958351662,1.1051761547382164,121787.63932321453,28104.839843818736,0.5376130174033988,,,,,,,,,,,,,,,,,
2010-08-31,83673.601563,75004.37291684996,1.1155829761520808,121882.10598988115,28126.63984381873,0.5234611486431672,,,,,,,,,,,,,,,,,
2010-09-01,76556.796875,75004.15957049163,1.0207006826474625,121881.75930204887,28126.55983893436,0.6605627734436968,,,,,,,,,,,,,,,,,
2010-09-02,74086.398438,74979.51953143327,0.9880884660369308,121841.71923857908,28117.31982428748,0.7123895882361732,,,,,,,,,,,,,,,,,
2010-09-03,70272.0,74935.46621111663,0.9377669020170212,121770.13259306453,28100.79982916873,0.7980333162790246,,,,,,,,,,,,,,,,,
2010-09-07,71552.0,74905.06621111662,0.9552357887026472,121720.73259306453,28089.39982916874,0.7674642771217832,,,,,,,,,,,,,,,,,
2010-09-08,69030.398438,74861.11953143329,0.9221128253233638,121649.31923857908,28072.919824287485,0.8262437871263323,,,,,,,,,,,,,,,,,
2010-09-09,68211.203125,74799.14622414162,0.9119248890969917,121548.61261423012,28049.679834053106,0.8450406168981509,,,,,,,,,,,,,,,,,
2010-09-10,67584.0,74749.65286476661,0.9041379780354252,121468.18590524574,28031.11982428748,0.8596496044034864,,,,,,,,,,,,,,,,,
2010-09-13,64499.19921900001,74686.61285825828,0.8635978624630877,121365.7458946697,28007.47982184685,0.9393590463019904,,,,,,,,,,,,,,,,,
2010-09-14,63808.0,74611.41285825828,0.8552042851837979,121243.5458946697,27979.279821846845,0.9566872228009928,,,,,,,,,,,,,,,,,
2010-09-15,62592.0,74521.06617856662,0.8399235707392818,121096.73254017075,27945.39981696249,0.9890258022197778,,,,,,,,,,,,,,,,,
2010-09-16,61760.0,74427.51949887496,0.8298005954764294,120944.7191856718,27910.31981207811,1.0110397591058944,,,,,,,,,,,,,,,,,
2010-09-17,61043.19921900001,74335.89283871664,0.8211806825464892,120795.82586291456,27875.95981451874,1.0301748424971091,,,,,,,,,,,,,,,,,
2010-09-20,57932.80078099999,74224.21285824165,0.7805108137912343,120614.34589464267,27834.07982184062,1.1257512893005663,,,,,,,,,,,,,,,,,
2010-09-21,58214.398438,74108.3728191833,0.7855306522521693,120426.10583117287,27790.63980719374,1.113448233662533,,,,,,,,,,,,,,,,,
2010-09-22,58304.0,73991.99951189164,0.7879770838011975,120236.99920682392,27746.99981695937,1.1075067260389546,,,,,,,,,,,,,,,,,
2010-09-23,58444.80078099999,73893.43951839997,0.7909335546147752,120076.83921739995,27710.03981939999,1.1003733072761108,,,,,,,,,,,,,,,,,
2010-09-24,55104.0,73771.73287777496,0.7469527670076062,119879.06592638431,27664.39982916561,1.2121319544942857,,,,,,,,,,,,,,,,,
2010-09-27,55782.398438,73652.69283871663,0.7573707937624401,119685.62586291453,27619.759814518737,1.1845080281801534,,,,,,,,,,,,,,,,,
2010-09-28,55564.80078099999,73533.8661785583,0.755635514200695,119492.53254015725,27575.19981695936,1.1890565686979244,,,,,,,,,,,,,,,,,
2010-09-29,56000.0,73429.65283219996,0.7626346828572118,119323.18585232494,27536.11981207499,1.1708354732271684,,,,,,,,,,,,,,,,,
2010-09-30,56832.0,73334.1861655333,0.7749728056123264,119168.05251899162,27500.31981207499,1.1395022714686989,,,,,,,,,,,,,,,,,
