Date,PX_Last,Bank's Rate,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
1/1/2009,3.077,2,4,0,1.466420406,,,,,,,,,,,,,,,,
2/1/2009,3.095,2,4,0,1.486114696,,,,,,,,,,,,,,,,
5/1/2009,3.165,2,4,0,1.566617915,,,,,,,,,,,,,,,,
6/1/2009,3.295,2,4,0,1.735851837,,,,,,,,,,,,,,,,
7/1/2009,3.33,2,4,0,1.786771928,,,,,,,,,,,,,,,,
8/1/2009,3.283,2,4,0,1.7189738,,,,,,,,,,,,,,,,
9/1/2009,3.174,2,4,0,1.577454867,,,,,,,,,,,,,,,,
12/1/2009,3.142,2,4,0,1.539445541,,,,,,,,,,,,,,,,
13/1/2009,3.145,2,4,0,1.542948171,,,,,,,,,,,,,,,,
14/1/2009,3.081,2,4,0,1.470763518,,,,,,,,,,,,,,,,
15/1/2009,3.033,1,4,0,1.419851145,,,,,,,,,,,,,,,,
16/1/2009,3.097,1,4,0,1.488327087,,,,,,,,,,,,,,,,
19/1/2009,3.169,1,4,0,1.571419845,,,,,,,,,,,,,,,,
20/1/2009,3.212,1,4,0,1.62455155,,,,,,,,,,,,,,,,
21/1/2009,3.13,1,4,0,1.525556428,,,,,,,,,,,,,,,,
22/1/2009,3.26,1,4,0,1.687399454,,,,,,,,,,,,,,,,
23/1/2009,3.405,1,4,0,1.905488235,,,,,,,,,,,,,,,,
26/1/2009,3.517,1,4,0,2.114032986,,,,,,,,,,,,,,,,
27/1/2009,3.427,1,4,0,1.943163923,,,,,,,,,,,,,,,,
28/1/2009,3.4,1,4,0,1.897119985,,,,,,,,,,,,,,,,
29/1/2009,3.397,1,4,0,1.892132443,,,,,,,,,,,,,,,,
30/1/2009,3.428,1,4,0,1.944910649,,,,,,,,,,,,,,,,
2/2/2009,3.431,1,4,0,1.950169206,,,,,,,,,,,,,,,,
3/2/2009,3.476,1,4,0,2.032557956,,,,,,,,,,,,,,,,
4/2/2009,3.536,1,4,0,2.154165088,,,,,,,,,,,,,,,,
5/2/2009,3.521,1,4,0,2.122349043,,,,,,,,,,,,,,,,
6/2/2009,3.544,1,4,0,2.171556831,,,,,,,,,,,,,,,,
9/2/2009,3.582,1,4,0,2.258568208,,,,,,,,,,,,,,,,
