Date,PX_Last,Bank's Rate,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
30/12/2004,3.774,1,,,,,,,,,,,,,,,,
31/12/2004,3.769,1,,,,,,,,,,,,,,,,
3/1/2005,3.726,1,,,,,,,,,,,,,,,,
4/1/2005,3.738,1,,,,,,,,,,,,,,,,
5/1/2005,3.743,1,,,,,,,,,,,,,,,,
6/1/2005,3.713,1,,,,,,,,,,,,,,,,
7/1/2005,3.703,1,,,,,,,,,,,,,,,,
10/1/2005,3.688,1,,,,,,,,,,,,,,,,
11/1/2005,3.695,1,,,,,,,,,,,,,,,,
12/1/2005,3.699,1,,,,,,,,,,,,,,,,
13/1/2005,3.659,1,,,,,,,,,,,,,,,,
14/1/2005,3.654,1,,,,,,,,,,,,,,,,
17/1/2005,3.637,1,,,,,,,,,,,,,,,,
18/1/2005,3.633,1,,,,,,,,,,,,,,,,
19/1/2005,3.611,1,,,,,,,,,,,,,,,,
20/1/2005,3.661,1,,,,,,,,,,,,,,,,
21/1/2005,3.661,1,,,,,,,,,,,,,,,,
24/1/2005,3.633,1,,,,,,,,,,,,,,,,
25/1/2005,3.638,1,,,,,,,,,,,,,,,,
26/1/2005,3.649,1,,,,,,,,,,,,,,,,
27/1/2005,3.683,1,,,,,,,,,,,,,,,,
28/1/2005,3.637,1,,,,,,,,,,,,,,,,
31/1/2005,3.635,1,,,,,,,,,,,,,,,,
1/2/2005,3.621,1,,,,,,,,,,,,,,,,
2/2/2005,3.636,1,,,,,,,,,,,,,,,,
3/2/2005,3.648,1,,,,,,,,,,,,,,,,
4/2/2005,3.587,1,,,,,,,,,,,,,,,,
7/2/2005,3.57,1,,,,,,,,,,,,,,,,
8/2/2005,3.539,1,,,,,,,,,,,,,,,,
9/2/2005,3.521,1,,,,,,,,,,,,,,,,
10/2/2005,3.534,1,,,,,,,,,,,,,,,,
11/2/2005,3.554,1,,,,,,,,,,,,,,,,
14/2/2005,3.58,1,,,,,,,,,,,,,,,,
15/2/2005,3.604,1,,,,,,,,,,,,,,,,
16/2/2005,3.636,1,,,,,,,,,,,,,,,,
17/2/2005,3.666,1,,,,,,,,,,,,,,,,
18/2/2005,3.759,1,,,,,,,,,,,,,,,,
21/2/2005,3.802,1,,,,,,,,,,,,,,,,
22/2/2005,3.798,1,,,,,,,,,,,,,,,,
23/2/2005,3.795,1,,,,,,,,,,,,,,,,
24/2/2005,3.827,1,,,,,,,,,,,,,,,,
25/2/2005,3.813,1,,,,,,,,,,,,,,,,
28/2/2005,3.799,1,,,,,,,,,,,,,,,,
1/3/2005,3.834,1,,,,,,,,,,,,,,,,
2/3/2005,3.879,1,,,,,,,,,,,,,,,,
3/3/2005,3.869,1,,,,,,,,,,,,,,,,
4/3/2005,3.803,1,,,,,,,,,,,,,,,,
7/3/2005,3.775,1,,,,,,,,,,,,,,,,
8/3/2005,3.822,1,,,,,,,,,,,,,,,,
9/3/2005,3.875,1,,,,,,,,,,,,,,,,
10/3/2005,3.89,1,,,,,,,,,,,,,,,,
11/3/2005,3.883,1,,,,,,,,,,,,,,,,
14/3/2005,3.886,1,,,,,,,,,,,,,,,,
15/3/2005,3.824,1,,,,,,,,,,,,,,,,
16/3/2005,3.774,1,,,,,,,,,,,,,,,,
17/3/2005,3.777,1,,,,,,,,,,,,,,,,
18/3/2005,3.803,1,,,,,,,,,,,,,,,,
21/3/2005,3.827,1,,,,,,,,,,,,,,,,
22/3/2005,3.783,1,,,,,,,,,,,,,,,,
23/3/2005,3.833,1,,,,,,,,,,,,,,,,
24/3/2005,3.802,1,,,,,,,,,,,,,,,,
25/3/2005,3.803,1,,,,,,,,,,,,,,,,
28/3/2005,3.805,1,,,,,,,,,,,,,,,,
29/3/2005,3.798,1,,,,,,,,,,,,,,,,
30/3/2005,3.768,1,,,,,,,,,,,,,,,,
31/3/2005,3.718,1,,,,,,,,,,,,,,,,
1/4/2005,3.711,1,,,,,,,,,,,,,,,,
4/4/2005,3.681,1,,,,,,,,,,,,,,,,
5/4/2005,3.693,1,,,,,,,,,,,,,,,,
6/4/2005,3.698,1,,,,,,,,,,,,,,,,
7/4/2005,3.658,1,,,,,,,,,,,,,,,,
8/4/2005,3.692,1,,,,,,,,,,,,,,,,
11/4/2005,3.667,1,,,,,,,,,,,,,,,,
12/4/2005,3.654,1,,,,,,,,,,,,,,,,
13/4/2005,3.621,1,,,,,,,,,,,,,,,,
14/4/2005,3.64,1,,,,,,,,,,,,,,,,
15/4/2005,3.602,1,,,,,,,,,,,,,,,,
18/4/2005,3.57,1,,,,,,,,,,,,,,,,
19/4/2005,3.55,1,,,,,,,,,,,,,,,,
20/4/2005,3.563,1,,,,,,,,,,,,,,,,
21/4/2005,3.593,1,,,,,,,,,,,,,,,,
22/4/2005,3.576,1,,,,,,,,,,,,,,,,
25/4/2005,3.555,1,,,,,,,,,,,,,,,,
26/4/2005,3.553,1,,,,,,,,,,,,,,,,
27/4/2005,3.518,1,,,,,,,,,,,,,,,,
28/4/2005,3.513,1,,,,,,,,,,,,,,,,
29/4/2005,3.512,1,,,,,,,,,,,,,,,,
2/5/2005,3.516,1,,,,,,,,,,,,,,,,
3/5/2005,3.496,1,,,,,,,,,,,,,,,,
4/5/2005,3.538,1,,,,,,,,,,,,,,,,
5/5/2005,3.522,1,,,,,,,,,,,,,,,,
6/5/2005,3.565,1,,,,,,,,,,,,,,,,
9/5/2005,3.539,1,,,,,,,,,,,,,,,,
10/5/2005,3.478,1,,,,,,,,,,,,,,,,
11/5/2005,3.437,1,,,,,,,,,,,,,,,,
12/5/2005,3.444,1,,,,,,,,,,,,,,,,
13/5/2005,3.417,1,,,,,,,,,,,,,,,,
16/5/2005,3.422,1,,,,,,,,,,,,,,,,
17/5/2005,3.417,1,,,,,,,,,,,,,,,,
