Date,Close,S_U,S_L,s,Leakage Ratio,kappa,kappa_SE,kappa_lb,kappa_ub,kappa_z,theta,theta_SE,theta_lb,theta_ub,theta_z,sigma,sigma_SE,sigma_lb,sigma_ub,sigma_z
3/1/2005,0.128564449,0.129032258,0.127388535,1.256659625,,,,,,,,,,,,,,,,
4/1/2005,0.128438953,0.129032258,0.127388535,1.019010323,,,,,,,,,,,,,,,,
5/1/2005,0.128394428,0.129032258,0.127388535,0.9466467,,,,,,,,,,,,,,,,
6/1/2005,0.128295593,0.129032258,0.127388535,0.802585822,,,,,,,,,,,,,,,,
7/1/2005,0.128354876,0.129032258,0.127388535,0.886482977,,,,,,,,,,,,,,,,
10/1/2005,0.128274199,0.129032258,0.127388535,0.77395769,,,,,,,,,,,,,,,,
11/1/2005,0.128272554,0.129032258,0.127388535,0.771789492,,,,,,,,,,,,,,,,
12/1/2005,0.128308762,0.129032258,0.127388535,0.820624267,,,,,,,,,,,,,,,,
13/1/2005,0.128356523,0.129032258,0.127388535,0.888918123,,,,,,,,,,,,,,,,
14/1/2005,0.128280781,0.129032258,0.127388535,0.782678365,,,,,,,,,,,,,,,,
17/1/2005,0.128249522,0.129032258,0.127388535,0.741923879,,,,,,,,,,,,,,,,
18/1/2005,0.128223211,0.129032258,0.127388535,0.708861956,,,,,,,,,,,,,,,,
19/1/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
20/1/2005,0.128226499,0.129032258,0.127388535,0.712934677,,,,,,,,,,,,,,,,
21/1/2005,0.128233076,0.129032258,0.127388535,0.721130855,,,,,,,,,,,,,,,,
24/1/2005,0.128226499,0.129032258,0.127388535,0.712934677,,,,,,,,,,,,,,,,
25/1/2005,0.128214991,0.129032258,0.127388535,0.698753038,,,,,,,,,,,,,,,,
26/1/2005,0.128216635,0.129032258,0.127388535,0.700766559,,,,,,,,,,,,,,,,
27/1/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
28/1/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
31/1/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
1/2/2005,0.128206772,0.129032258,0.127388535,0.688746565,,,,,,,,,,,,,,,,
2/2/2005,0.128206772,0.129032258,0.127388535,0.688746565,,,,,,,,,,,,,,,,
3/2/2005,0.128206772,0.129032258,0.127388535,0.688746565,,,,,,,,,,,,,,,,
4/2/2005,0.128231432,0.129032258,0.127388535,0.719075425,,,,,,,,,,,,,,,,
7/2/2005,0.128206772,0.129032258,0.127388535,0.688746565,,,,,,,,,,,,,,,,
8/2/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
9/2/2005,0.128221567,0.129032258,0.127388535,0.706831876,,,,,,,,,,,,,,,,
10/2/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
11/2/2005,0.128205128,0.129032258,0.127388535,0.686757382,,,,,,,,,,,,,,,,
14/2/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
15/2/2005,0.128226499,0.129032258,0.127388535,0.712934677,,,,,,,,,,,,,,,,
16/2/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
17/2/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
18/2/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
21/2/2005,0.128206772,0.129032258,0.127388535,0.688746565,,,,,,,,,,,,,,,,
22/2/2005,0.128206772,0.129032258,0.127388535,0.688746565,,,,,,,,,,,,,,,,
23/2/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
24/2/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
25/2/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
28/2/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
1/3/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
2/3/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
3/3/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
4/3/2005,0.128214991,0.129032258,0.127388535,0.698753038,,,,,,,,,,,,,,,,
7/3/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
8/3/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
9/3/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
10/3/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
11/3/2005,0.128228144,0.129032258,0.127388535,0.714977354,,,,,,,,,,,,,,,,
14/3/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
15/3/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
16/3/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
17/3/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
18/3/2005,0.128228144,0.129032258,0.127388535,0.714977354,,,,,,,,,,,,,,,,
21/3/2005,0.128214991,0.129032258,0.127388535,0.698753038,,,,,,,,,,,,,,,,
22/3/2005,0.128208416,0.129032258,0.127388535,0.690739763,,,,,,,,,,,,,,,,
23/3/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
24/3/2005,0.128213347,0.129032258,0.127388535,0.696743614,,,,,,,,,,,,,,,,
25/3/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
28/3/2005,0.128210059,0.129032258,0.127388535,0.692736993,,,,,,,,,,,,,,,,
29/3/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
30/3/2005,0.128214991,0.129032258,0.127388535,0.698753038,,,,,,,,,,,,,,,,
31/3/2005,0.128214991,0.129032258,0.127388535,0.698753038,,,,,,,,,,,,,,,,
1/4/2005,0.128219923,0.129032258,0.127388535,0.704805962,,,,,,,,,,,,,,,,
4/4/2005,0.128216635,0.129032258,0.127388535,0.700766559,,,,,,,,,,,,,,,,
5/4/2005,0.128211703,0.129032258,0.127388535,0.694738271,,,,,,,,,,,,,,,,
6/4/2005,0.128218279,0.129032258,0.127388535,0.702784195,,,,,,,,,,,,,,,,
7/4/2005,0.128218279,0.129032258,0.127388535,0.702784195,,,,,,,,,,,,,,,,
8/4/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
11/4/2005,0.128218279,0.129032258,0.127388535,0.702784195,,,,,,,,,,,,,,,,
12/4/2005,0.128216635,0.129032258,0.127388535,0.700766559,,,,,,,,,,,,,,,,
13/4/2005,0.128226499,0.129032258,0.127388535,0.712934677,,,,,,,,,,,,,,,,
14/4/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
15/4/2005,0.128226499,0.129032258,0.127388535,0.712934677,,,,,,,,,,,,,,,,
18/4/2005,0.128223211,0.129032258,0.127388535,0.708861956,,,,,,,,,,,,,,,,
19/4/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
20/4/2005,0.128213347,0.129032258,0.127388535,0.696743614,,,,,,,,,,,,,,,,
21/4/2005,0.128214991,0.129032258,0.127388535,0.698753038,,,,,,,,,,,,,,,,
22/4/2005,0.128262682,0.129032258,0.127388535,0.758879257,,,,,,,,,,,,,,,,
25/4/2005,0.128265972,0.129032258,0.127388535,0.763163955,,,,,,,,,,,,,,,,
26/4/2005,0.128234721,0.129032258,0.127388535,0.723190571,,,,,,,,,,,,,,,,
27/4/2005,0.128221567,0.129032258,0.127388535,0.706831876,,,,,,,,,,,,,,,,
28/4/2005,0.128223211,0.129032258,0.127388535,0.708861956,,,,,,,,,,,,,,,,
29/4/2005,0.128284072,0.129032258,0.127388535,0.787067727,,,,,,,,,,,,,,,,
2/5/2005,0.128262682,0.129032258,0.127388535,0.758879257,,,,,,,,,,,,,,,,
3/5/2005,0.128420809,0.129032258,0.127388535,0.988887938,,,,,,,,,,,,,,,,
4/5/2005,0.128318641,0.129032258,0.127388535,0.834372384,,,,,,,,,,,,,,,,
5/5/2005,0.128349933,0.129032258,0.127388535,0.87921329,,,,,,,,,,,,,,,,
6/5/2005,0.128325227,0.129032258,0.127388535,0.843645132,,,,,,,,,,,,,,,,
9/5/2005,0.128254457,0.129032258,0.127388535,0.748248097,,,,,,,,,,,,,,,,
10/5/2005,0.128228144,0.129032258,0.127388535,0.714977354,,,,,,,,,,,,,,,,
11/5/2005,0.128239654,0.129032258,0.127388535,0.729395616,,,,,,,,,,,,,,,,
12/5/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
13/5/2005,0.128224855,0.129032258,0.127388535,0.710896217,,,,,,,,,,,,,,,,
16/5/2005,0.128216635,0.129032258,0.127388535,0.700766559,,,,,,,,,,,,,,,,
17/5/2005,0.128213347,0.129032258,0.127388535,0.696743614,,,,,,,,,,,,,,,,
18/5/2005,0.128298885,0.129032258,0.127388535,0.807064674,,,,,,,,,,,,,,,,
19/5/2005,0.128377945,0.129032258,0.127388535,0.921132655,,,,,,,,,,,,,,,,
20/5/2005,0.128389482,0.129032258,0.127388535,0.938923212,,,,,,,,,,,,,,,,
23/5/2005,0.128389482,0.129032258,0.127388535,0.938923212,,,,,,,,,,,,,,,,
24/5/2005,0.128523141,0.129032258,0.127388535,1.172040308,,,,,,,,,,,,,,,,
25/5/2005,0.128526444,0.129032258,0.127388535,1.178550574,,,,,,,,,,,,,,,,
26/5/2005,0.128526444,0.129032258,0.127388535,1.178550574,,,,,,,,,,,,,,,,
27/5/2005,0.128579327,0.129032258,0.127388535,1.288979186,,,,,,,,,,,,,,,,
30/5/2005,0.128554533,0.129032258,0.127388535,1.235683352,,,,,,,,,,,,,,,,
31/5/2005,0.128529748,0.129032258,0.127388535,1.18510384,,,,,,,,,,,,,,,,
1/6/2005,0.128462052,0.129032258,0.127388535,1.058721821,,,,,,,,,,,,,,,,
2/6/2005,0.128498368,0.129032258,0.127388535,1.124529276,,,,,,,,,,,,,,,,
3/6/2005,0.128467003,0.129032258,0.127388535,1.067442462,,,,,,,,,,,,,,,,
6/6/2005,0.128509927,0.129032258,0.127388535,1.14641823,,,,,,,,,,,,,,,,
7/6/2005,0.128514882,0.129032258,0.127388535,1.155949127,,,,,,,,,,,,,,,,
8/6/2005,0.128523141,0.129032258,0.127388535,1.172040308,,,,,,,,,,,,,,,,
9/6/2005,0.128539661,0.129032258,0.127388535,1.205027385,,,,,,,,,,,,,,,,
10/6/2005,0.128567755,0.129032258,0.127388535,1.26375138,,,,,,,,,,,,,,,,
13/6/2005,0.128599169,0.129032258,0.127388535,1.333776267,,,,,,,,,,,,,,,,
14/6/2005,0.128633908,0.129032258,0.127388535,1.417387656,,,,,,,,,,,,,,,,
15/6/2005,0.128633908,0.129032258,0.127388535,1.417387656,,,,,,,,,,,,,,,,
16/6/2005,0.128620672,0.129032258,0.127388535,1.384700735,,,,,,,,,,,,,,,,
17/6/2005,0.128614055,0.129032258,0.127388535,1.368751841,,,,,,,,,,,,,,,,
20/6/2005,0.128620672,0.129032258,0.127388535,1.384700735,,,,,,,,,,,,,,,,
21/6/2005,0.128678599,0.129032258,0.127388535,1.536387042,,,,,,,,,,,,,,,,
22/6/2005,0.128715038,0.129032258,0.127388535,1.645122647,,,,,,,,,,,,,,,,
23/6/2005,0.128678599,0.129032258,0.127388535,1.536387042,,,,,,,,,,,,,,,,
24/6/2005,0.128652112,0.129032258,0.127388535,1.464163069,,,,,,,,,,,,,,,,
27/6/2005,0.128683567,0.129032258,0.127388535,1.550533073,,,,,,,,,,,,,,,,
28/6/2005,0.128678599,0.129032258,0.127388535,1.536387042,,,,,,,,,,,,,,,,
29/6/2005,0.128688535,0.129032258,0.127388535,1.564883204,,,,,,,,,,,,,,,,
30/6/2005,0.128681911,0.129032258,0.127388535,1.545795338,,,,,,,,,,,,,,,,
1/7/2005,0.128658733,0.129032258,0.127388535,1.481733208,,,,,,,,,,,,,,,,
4/7/2005,0.128643837,0.129032258,0.127388535,1.442628281,,,,,,,,,,,,,,,,
5/7/2005,0.128705098,0.129032258,0.127388535,1.614269572,,,,,,,,,,,,,,,,
6/7/2005,0.128648802,0.129032258,0.127388535,1.455493092,,,,,,,,,,,,,,,,
7/7/2005,0.128650457,0.129032258,0.127388535,1.459818629,,,,,,,,,,,,,,,,
8/7/2005,0.128633908,0.129032258,0.127388535,1.417387656,,,,,,,,,,,,,,,,
11/7/2005,0.128561144,0.129032258,0.127388535,1.249618171,,,,,,,,,,,,,,,,
12/7/2005,0.128577674,0.129032258,0.127388535,1.285335733,,,,,,,,,,,,,,,,
13/7/2005,0.12855288,0.129032258,0.127388535,1.232229999,,,,,,,,,,,,,,,,
14/7/2005,0.128589247,0.129032258,0.127388535,1.311125172,,,,,,,,,,,,,,,,
15/7/2005,0.12858098,0.129032258,0.127388535,1.292636057,,,,,,,,,,,,,,,,
18/7/2005,0.128594208,0.129032258,0.127388535,1.32238615,,,,,,,,,,,,,,,,
19/7/2005,0.128587594,0.129032258,0.127388535,1.307399709,,,,,,,,,,,,,,,,
20/7/2005,0.128564449,0.129032258,0.127388535,1.256659625,,,,,,,,,,,,,,,,
21/7/2005,0.12877305,0.129032258,0.127388535,1.847089463,,,,,,,,,,,,,,,,
22/7/2005,0.128716695,0.129032258,0.127388535,1.650359131,,,,,,,,,,,,,,,,
25/7/2005,0.128642182,0.129032258,0.127388535,1.438376746,,,,,,,,,,,,,,,,
26/7/2005,0.128602477,0.129032258,0.127388535,1.341442892,,,,,,,,,,,,,,,,
27/7/2005,0.128572714,0.129032258,0.127388535,1.274484906,,,,,,,,,,,,,,,,
28/7/2005,0.128698472,0.129032258,0.127388535,1.594219873,,,,,,,,,,,,,,,,
29/7/2005,0.128612401,0.129032258,0.127388535,1.364804301,,,,,,,,,,,,,,,,
1/8/2005,0.128650457,0.129032258,0.127388535,1.459818629,,,,,,,,,,,,,,,,
2/8/2005,0.128652112,0.129032258,0.127388535,1.464163069,,,,,,,,,,,,,,,,
3/8/2005,0.128650457,0.129032258,0.127388535,1.459818629,,,,,,,,,,,,,,,,
4/8/2005,0.128642182,0.129032258,0.127388535,1.438376746,,,,,,,,,,,,,,,,
5/8/2005,0.128678599,0.129032258,0.127388535,1.536387042,,,,,,,,,,,,,,,,
8/8/2005,0.128676944,0.129032258,0.127388535,1.53171606,,,,,,,,,,,,,,,,
9/8/2005,0.128676944,0.129032258,0.127388535,1.53171606,,,,,,,,,,,,,,,,
10/8/2005,0.128716695,0.129032258,0.127388535,1.650359131,,,,,,,,,,,,,,,,
11/8/2005,0.128696816,0.129032258,0.127388535,1.589269954,,,,,,,,,,,,,,,,
12/8/2005,0.128693504,0.129032258,0.127388535,1.579443396,,,,,,,,,,,,,,,,
15/8/2005,0.128724979,0.129032258,0.127388535,1.676963018,,,,,,,,,,,,,,,,
16/8/2005,0.128675288,0.129032258,0.127388535,1.527066915,,,,,,,,,,,,,,,,
17/8/2005,0.128670321,0.129032258,0.127388535,1.513248482,,,,,,,,,,,,,,,,
18/8/2005,0.128681911,0.129032258,0.127388535,1.545795338,,,,,,,,,,,,,,,,
19/8/2005,0.128678599,0.129032258,0.127388535,1.536387042,,,,,,,,,,,,,,,,
22/8/2005,0.128668665,0.129032258,0.127388535,1.508684682,,,,,,,,,,,,,,,,
23/8/2005,0.128638872,0.129032258,0.127388535,1.429927848,,,,,,,,,,,,,,,,
24/8/2005,0.128637217,0.129032258,0.127388535,1.425730179,,,,,,,,,,,,,,,,
25/8/2005,0.128678599,0.129032258,0.127388535,1.536387042,,,,,,,,,,,,,,,,
26/8/2005,0.128713381,0.129032258,0.127388535,1.639913574,,,,,,,,,,,,,,,,
29/8/2005,0.128728293,0.129032258,0.127388535,1.687806945,,,,,,,,,,,,,,,,
30/8/2005,0.128690191,0.129032258,0.127388535,1.56971296,,,,,,,,,,,,,,,,
31/8/2005,0.128676944,0.129032258,0.127388535,1.53171606,,,,,,,,,,,,,,,,
1/9/2005,0.128734922,0.129032258,0.127388535,1.709855799,,,,,,,,,,,,,,,,
2/9/2005,0.128754812,0.129032258,0.127388535,1.779093299,,,,,,,,,,,,,,,,
5/9/2005,0.128751497,0.129032258,0.127388535,1.767214147,,,,,,,,,,,,,,,,
6/9/2005,0.128738237,0.129032258,0.127388535,1.721066125,,,,,,,,,,,,,,,,
7/9/2005,0.128739894,0.129032258,0.127388535,1.726718989,,,,,,,,,,,,,,,,
8/9/2005,0.128758128,0.129032258,0.127388535,1.791115886,,,,,,,,,,,,,,,,
9/9/2005,0.128801247,0.129032258,0.127388535,1.962252599,,,,,,,,,,,,,,,,
12/9/2005,0.128832775,0.129032258,0.127388535,2.108990037,,,,,,,,,,,,,,,,
13/9/2005,0.128854356,0.129032258,0.127388535,2.223485449,,,,,,,,,,,,,,,,
14/9/2005,0.128877605,0.129032258,0.127388535,2.363534378,,,,,,,,,,,,,,,,
15/9/2005,0.128882588,0.129032258,0.127388535,2.396285537,,,,,,,,,,,,,,,,
16/9/2005,0.128849375,0.129032258,0.127388535,2.195872573,,,,,,,,,,,,,,,,
19/9/2005,0.128872622,0.129032258,0.127388535,2.331824342,,,,,,,,,,,,,,,,
20/9/2005,0.128834435,0.129032258,0.127388535,2.117345404,,,,,,,,,,,,,,,,
21/9/2005,0.128829456,0.129032258,0.127388535,2.092486502,,,,,,,,,,,,,,,,
22/9/2005,0.128854356,0.129032258,0.127388535,2.223485449,,,,,,,,,,,,,,,,
23/9/2005,0.128892555,0.129032258,0.127388535,2.465201076,,,,,,,,,,,,,,,,
26/9/2005,0.128894217,0.129032258,0.127388535,2.477164377,,,,,,,,,,,,,,,,
27/9/2005,0.128900862,0.129032258,0.127388535,2.526505574,,,,,,,,,,,,,,,,
28/9/2005,0.128874283,0.129032258,0.127388535,2.342282755,,,,,,,,,,,,,,,,
29/9/2005,0.128887571,0.129032258,0.127388535,2.430148423,,,,,,,,,,,,,,,,
30/9/2005,0.128894217,0.129032258,0.127388535,2.477164377,,,,,,,,,,,,,,,,
3/10/2005,0.128914156,0.129032258,0.127388535,2.633170423,,,,,,,,,,,,,,,,
4/10/2005,0.128920804,0.129032258,0.127388535,2.691106114,,,,,,,,,,,,,,,,
5/10/2005,0.128940752,0.129032258,0.127388535,2.888310831,,,,,,,,,,,,,,,,
6/10/2005,0.128937427,0.129032258,0.127388535,2.852618536,,,,,,,,,,,,,,,,
7/10/2005,0.128979002,0.129032258,0.127388535,3.429611506,,,,,,,,,,,,,,,,
10/10/2005,0.128907509,0.129032258,0.127388535,2.578413751,,,,,,,,,,,,,,,,
11/10/2005,0.128899201,0.129032258,0.127388535,2.513939682,,,,,,,,,,,,,,,,
12/10/2005,0.128900862,0.129032258,0.127388535,2.526505574,,,,,,,,,,,,,,,,
13/10/2005,0.128889233,0.129032258,0.127388535,2.441696356,,,,,,,,,,,,,,,,
14/10/2005,0.128920804,0.129032258,0.127388535,2.691106114,,,,,,,,,,,,,,,,
17/10/2005,0.128905847,0.129032258,0.127388535,2.565181415,,,,,,,,,,,,,,,,
18/10/2005,0.128884249,0.129032258,0.127388535,2.407445949,,,,,,,,,,,,,,,,
