date,xroll_kappa,xroll_kappa_se,xroll_theta,xroll_theta_se,xroll_sigma,xroll_sigma_se
1990-02-12,NA,NA,NA,NA,NA,NA
1990-02-13,NA,NA,NA,NA,NA,NA
1990-02-14,NA,NA,NA,NA,NA,NA
1990-02-15,NA,NA,NA,NA,NA,NA
1990-02-16,NA,NA,NA,NA,NA,NA
1990-02-20,NA,NA,NA,NA,NA,NA
1990-02-21,NA,NA,NA,NA,NA,NA
1990-02-22,NA,NA,NA,NA,NA,NA
1990-02-23,NA,NA,NA,NA,NA,NA
1990-02-26,NA,NA,NA,NA,NA,NA
1990-02-27,NA,NA,NA,NA,NA,NA
1990-02-28,NA,NA,NA,NA,NA,NA
1990-03-01,NA,NA,NA,NA,NA,NA
1990-03-02,NA,NA,NA,NA,NA,NA
1990-03-05,NA,NA,NA,NA,NA,NA
1990-03-06,NA,NA,NA,NA,NA,NA
1990-03-07,NA,NA,NA,NA,NA,NA
1990-03-08,NA,NA,NA,NA,NA,NA
1990-03-09,NA,NA,NA,NA,NA,NA
1990-03-12,NA,NA,NA,NA,NA,NA
1990-03-13,NA,NA,NA,NA,NA,NA
1990-03-14,NA,NA,NA,NA,NA,NA
1990-03-15,NA,NA,NA,NA,NA,NA
1990-03-16,NA,NA,NA,NA,NA,NA
1990-03-19,NA,NA,NA,NA,NA,NA
1990-03-20,NA,NA,NA,NA,NA,NA
1990-03-21,NA,NA,NA,NA,NA,NA
1990-03-22,NA,NA,NA,NA,NA,NA
1990-03-23,NA,NA,NA,NA,NA,NA
1990-03-26,NA,NA,NA,NA,NA,NA
1990-03-27,NA,NA,NA,NA,NA,NA
1990-03-28,NA,NA,NA,NA,NA,NA
1990-03-29,NA,NA,NA,NA,NA,NA
1990-03-30,NA,NA,NA,NA,NA,NA
1990-04-02,NA,NA,NA,NA,NA,NA
1990-04-03,NA,NA,NA,NA,NA,NA
1990-04-04,NA,NA,NA,NA,NA,NA
1990-04-05,NA,NA,NA,NA,NA,NA
1990-04-06,NA,NA,NA,NA,NA,NA
1990-04-09,NA,NA,NA,NA,NA,NA
1990-04-10,NA,NA,NA,NA,NA,NA
1990-04-11,NA,NA,NA,NA,NA,NA
1990-04-12,NA,NA,NA,NA,NA,NA
1990-04-16,NA,NA,NA,NA,NA,NA
