date,xexpand_kappa,xexpand_kappa_se,xexpand_theta,xexpand_theta_se,xexpand_sigma,xexpand_sigma_se,xroll_kappa,xroll_kappa_se,xroll_theta,xroll_theta_se,xroll_sigma,xroll_sigma_se
1990-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
